name,city,brewery_type,url,address,address_2,postal_code,state_province,phone,website_url,social_media,country
101 Brewhouse + Distillery,Gibsons,"['Beer Service', 'Brewpub', 'Cider', 'Distilling', 'Family Friendly', 'Food Service', 'Growler Fills', 'Live Music', 'Merchandise', 'Shopping', 'Take-Out', 'Wine']",https://bcaletrail.ca/breweries/101-brewhouse-distillery/,1009 Gibsons Way,N/A,V0N 1V7,BC,7784622011,https://the101.ca/,"['https://twitter.com/The101Gibsons', 'https://www.facebook.com/pg/The101Gibsons', 'https://www.instagram.com/the101gibsons/', 'https://untappd.com/w/101-brewhouse-distillery/357883']",Canada
3 Dogs Brewing,White Rock,"['Beer Service', 'Board Games', 'Comedy Events', 'Family Friendly', 'Growler Fills', 'Live Music', 'Merchandise', 'Snacks']",https://bcaletrail.ca/breweries/3-dogs-brewing/,107 - 15181 Thrift Avenue,N/A,V4B 0C1,BC,6043851364,http://www.3dogsbrewing.com,"['https://twitter.com/3Dogs_Brewing', 'https://www.facebook.com/3dogsbrewingofficial/', 'https://www.instagram.com/3dogsbrewing/', 'https://untappd.com/3_Dogs_Brewing']",Canada
33 Acres Brewing Company,Vancouver,"['Barrels', 'Cider Production', 'Events', 'Family Friendly', 'Food Truck(s)', 'Growler Fills', 'Has Tours', 'Keg Sales/Rentals', 'Merchandise', 'Patio', 'Shopping', 'Tasting Room Kitchen']",https://bcaletrail.ca/breweries/33-acres-brewing-co/,15 W 8th Ave,N/A,V5Y 1M8,BC,6046204589,https://33acresbrewing.com/,"['https://www.facebook.com/33acresbrewing/', 'https://www.instagram.com/33acresbrewing/', 'https://untappd.com/w/33-acres-brewing-co/71017']",Canada
33 Brewing Experiment,Vancouver,"['Barrels', 'Beer Service', 'Cider', 'Events', 'Family Friendly', 'Food Truck(s)', 'Growler Fills', 'Has Tours', 'Keg Sales/Rentals', 'Merchandise', 'Shopping', 'Snacks']",https://bcaletrail.ca/breweries/33-brewing-experiment/,25 W 8th Ave,N/A,V5Y 1M8,BC,6046204589,https://33brewingexp.com/,"['https://www.facebook.com/33brewingexp/', 'https://www.instagram.com/33brewingexp/', 'https://untappd.com/w/33-brewing-experiment/405524']",Canada
4 Mile Brewing,Victoria,"['Brewpub', 'Family Friendly', 'Growler Fills', 'Merchandise', 'Wine']",https://bcaletrail.ca/breweries/4-mile-brewing-co/,199 Island Hwy,N/A,V9B 1G2,BC,2504792514,http://4milebrewingco.com,"['https://www.facebook.com/4milebrewingco/', 'https://untappd.com/4MileBrewing']",Canada
A-FRAME Brewing,Squamish,"['Beer Service', 'Cider', 'Cocktails', 'Craft Sodas', 'Delivery from Local Restaurants Available', 'Events', 'Experience', 'Family Friendly', 'Food Service', 'Food Truck(s)', 'Gender Neutral Washrooms', 'GF Food Options', 'Growler Fills', 'Keg Sales/Rentals', 'Kombucha', 'Live Music', 'Merchandise', 'Shopping', 'Snacks', 'What Else?', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/a-frame-brewing-co/,1 - 38927 Queens Way,N/A,N/A,BC,6048920777,http://aframebrewing.com,"['https://twitter.com/aframebrewing', 'https://www.facebook.com/aframebrewing', 'https://www.instagram.com/aframebrewing', 'https://untappd.com/AFrameBrewingCompany']",Canada
Abandoned Rail Brewing Co,Penticton,"['All Weather Patio', 'Baby Change Table (gender neutral washroom)', 'Barrels', 'Bike Racks', 'Board Games', 'Brewpub', 'Cider', 'Cocktails', ""Code of Conduct on Brewery's Website"", 'Crowlers', 'Dog Friendly Patio', 'Educational events', 'Family Friendly', 'Farm', 'Gender Neutral Washrooms', 'GF Food Options', 'Growler Fills', 'Guest Taps', 'Hotel', 'Keg Sales/Rentals', 'Kombucha', 'Merchandise', 'Non Alc Beer Available', 'Patio', 'Picnic Area Outside', 'Safe Space Signage', 'Snacks', 'Spirits', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/abandoned-rail-brewing/,1220 Davenport Ave,N/A,V2A 8V1,BC,7784767704,https://www.arbrewco.com/,"['https://www.facebook.com/profile.php?id=61557457193019', 'https://www.instagram.com/abandonedrailbrewco/', 'https://untappd.com/AbandonedRailBrewing']",Canada
Ace Brewing,Courtenay,"['Beer Service', 'Growler Fills', 'Keg Sales/Rentals', 'Live Music', 'Online Shopping - Merch', 'Shopping', 'Snacks', 'Take-Out', 'Tasting Room Kitchen']",https://bcaletrail.ca/breweries/ace-brewing/,150 Mansfield Drive,N/A,V9N 6C5,BC,2503381182,https://acebrewing.ca/,"['https://twitter.com/AceBrewery', 'https://www.facebook.com/pg/acebrewingcompany', 'https://www.instagram.com/acebrewingcompany/', 'https://untappd.com/AceBrewingCompany']",Canada
Alberni Brewing Co.,Port Alberni,"['Brewpub', 'Call in or Order Online', 'Cider', 'Family Friendly', 'Growler Fills', 'Keg Sales/Rentals', 'Merchandise', 'Patio', 'Wine']",https://bcaletrail.ca/breweries/alberni-brewing-co/,4630 Adelaide Street,N/A,V9Y 6N4,BC,7787448010,https://albernibrewingcompany.ca/,"['https://www.facebook.com/AlberniBrewingCompany', 'https://www.instagram.com/albernibrewing/', 'https://untappd.com/AlberniBrewing']",Canada
Angry Hen Brewing,Kaslo,"['Beer Service', 'Family Friendly', 'Growler Fills', 'Has Tours', 'Merchandise', 'Patio', 'Shopping', 'Snacks', 'Take-Out']",https://bcaletrail.ca/breweries/angry-hen-brewing/,343 Front Street,N/A,V0G 1M0,BC,2503537446,http://angryhenbrewing.com,"['https://www.facebook.com/angryhenbrewing/', 'https://www.instagram.com/angryhenbrewing/', 'https://untappd.com/AngryHenBrewing']",Canada
